license_number,business_name,status,address,city_state_zip,phone,bond_amount,classifications,expire_date,line_number,raw_text
20240115025,,,,                         HILMAR            ,,,C54,,30,"20240115025 O     CP    W           TILEWORX INC                                            706659 P O BOX 367                         HILMAR             CA           95324        20250710                                                   C54,B,"
20240115364,,,490 ALTA MESA DR, ALTA MESA DR                    RIVERSIDE         ,,,B-2;B-2,,31,"20240115364 O     SO    E           IRENEUSZ STASIUK                                             0 490 ALTA MESA DR                    RIVERSIDE          CA           92507        20250710 IRENEUSZ STASIUK                 B-2              B-2,"
20240116356,,,,                        SANTA MONICA      ,,,,,32,"20240116356 O     SO    E           SUNSET MESA CONSTRUCTION                                     0 P O BOX 1644                        SANTA MONICA       CA           90406        20250710 NAVID RYAN SARVIAN               B                B,"
20240116932,,,1400 MAIN ST,                FERNDALE          ,,,C57;C57,,33,"20240116932 O     SO    E           NORTHCOAST PUMPHOUSE                                         0 1400 MAIN ST SUITE 3                FERNDALE           CA           95536        20250710 ARNOLD WESLEY STEINER            C57              C57,"
20240117060,,,,         EL CAJON          ,,,,,34,"20240117060 O     CP    E           KAIZEN CRAFT BUILDING SOLUTIONS                              0 2840 FLETCHER PKWY UNIT 426         EL CAJON           CA           92020        20250710 CARLOS DU BROOK ROMERO           A                A,"
20240118959,,,,                         SUN VALLEY        ,,,C49;C49,,35,"20240118959 O     CP    E           CANADA TREE CARE                                             0 P O BOX 231                         SUN VALLEY         CA       913530231        20250710 JESSIE ANTHONY MONTOYA           C49              C49,"
20240119737,,,20250710 BRYER JAMES WHETST,                         MIRANDA           ,,,C20;C20,,36,"20240119737 O     SO    E           WYLD AIR                                                     0 P O BOX 351                         MIRANDA            CA           95553        20250710 BRYER JAMES WHETSTONE            C20              C20,"
20240119905,,,, DOVER CIRCLE                   SUISUN CITY       ,,,C51;C51,,37,"20240119905 O     SO    E           AVA STEEL                                                    0 1736 DOVER CIRCLE                   SUISUN CITY        CA           94585        20250710 ALVIN VIDANES AMORES             C51              C51,"
20240120433,,,1900 CAMDEN AVE,                SAN JOSE          ,,,,,38,"20240120433 O     LC    E           HIGHLEVEL BUILDERS LLC                                       0 1900 CAMDEN AVE #101                SAN JOSE           CA           95124        20250710 ALONZO ESPINOZA                  B                B,"
20240120476,,,1390 YELLOW PINE AVE,,,,C20;C20,,39,"20240120476 O     LC    E           ELEPHANT ENERGY INC                                          0 1390 YELLOW PINE AVENUE             BOULDER            CO           80304        20250710 REESE DANIEL LIVERMORE           C20              C20,"
20240120978,,,3128 MOORLAND AVE, MOORLAND AVE                   SANTA ROSA        ,,,C47;C47,,40,"20240120978 O     SO    E           RIVAS MANUFACTURED MOBILE HOME SERVICES                      0 3128 MOORLAND AVE                   SANTA ROSA         CA           95407        20250710 HUGO RIVAS                       C47              C47,"
20240121831,,,1489 FLAMINGO ST, FLAMINGO ST                    BEAUMONT          ,,,C20;C20,,41,"20240121831 O     SO    E           PRECISION ONE HVAC SERVICES                                  0 1489 FLAMINGO ST                    BEAUMONT           CA           92223        20250710 MICHAEL BRITT JENSEN             C20              C20,"
20240123053,,,945 HIGH SCHOOL WAY,           MOUNTAIN VIEW     ,,,C10;C10,,42,"20240123053 O     SO    E           PLUG AND GO ELECTRICS                                        0 945 HIGH SCHOOL WAY APT 6           MOUNTAIN VIEW      CA           94041        20250710 SERHII SHEPELENKO                C10              C10,"
20240123075,,,1602 VALLEY PARK DRIVE              OXNARD, VALLEY PARK DRIVE              OXNARD            ,,,C-8;C-8,,43,"20240123075 O     CP    E           C S C C CONCRETE INC                                         0 1602 VALLEY PARK DRIVE              OXNARD             CA           93033        20250710 ANTONIO MARQUEZ RODRIGUEZ        C-8              C-8,"
20240123333,,,512 W CALIFORNIA AVE,   VISTA             ,,,,,44,"20240123333 O     CP    W           KING FINE WOODWORKING INC                               513210 512 W CALIFORNIA AVENUE,SUITE 203   VISTA              CA           92083        20250710                                                   B,"
20240123906,,,18465 GALE AVE,         CITY OF INDUSTRY  ,,,C10,,45,"20240123906 O     CP    W           DIGITALSYSTEM AMERICAS INC                                   0 18465 GALE AVENUE SUITE 200         CITY OF INDUSTRY   CA           91748        20250710                                                   B,C10,"
20240123918,,,2491 EUCLID CRESCENT EAST           UPL, EUCLID CRESCENT EAST           UPLAND            ,,,C39;C39,,46,"20240123918 O     CP    E           GOLDEN STATE ROOFING                                         0 2491 EUCLID CRESCENT EAST           UPLAND             CA           91784        20250710 JASON GRAY LAFORTUNE             C39              C39,"
20240124022,,,9929 CENTERAL AVE, CENTERAL AVE                   MONTCLAIR         ,,,,,47,"20240124022 O     CP    E           FI CONSTRUCTION SERVICES INC                                 0 9929 CENTERAL AVE                   MONTCLAIR          CA           91763        20250710 FRANCISCO ICEDO GUILLEN          B                B,"
20240124080,,,2587 CHARLESTON ST, CHARLESTON ST                  OAKLAND           ,,,C46;C46,,48,"20240124080 O     SO    E           DAVID THE SOLAR PRO                                          0 2587 CHARLESTON ST                  OAKLAND            CA           94602        20250710 DAVID PETER SZABO                C46              C46,"
