license_number,business_name,status,address,city_state_zip,phone,bond_amount,classifications,expire_date,line_number,raw_text
20240119150,,,28721 APPL, APPLETREE                    MISSION VIEJO   ,,,C-6;C-6,,6,"20240119150 O     CP    E           CARBON FIBER CABINETS INC                          0 28721 APPLETREE                    MISSION VIEJO    CA            92692     20250713 JOHNLERY SAGUIGUIT CRUZ            C-6              C-6,"
20240119556,,,,TH ST                         W SACRAMENTO    ,,,,,7,"20240119556 O     CP    W           FACTOR ONE BUILDING SERVICES                       0 410 4TH ST                         W SACRAMENTO     CA            95605     20250711 JOSE RAMON ANGUIANO HERNANDEZ      B                B,"
20240122420,,,,                       SANTA MARIA     ,,,C51;C60,,8,"20240122420 O     CP    W           J AND D STEEL FABRICATION AND REPAIR               0 P O BOX 5487                       SANTA MARIA      CA            93456     20250711                                                     C51,C60,"
20240122538,,,2425 W PARKER ROAD,,,,,,9,"20240122538 O     LC    W           RCR TELECON LLC                                    0 2425 W PARKER ROAD BLD 6C          CARROLLTON       TX            75010     20250711                                                     A,"
20240122724,,,2840 ADAMS AVE,        SAN DIEGO       ,,,C27,,10,"20240122724 O     JV    W           IOEI-EQM JV                                        0 2840 ADAMS AVENUE SUITE 301        SAN DIEGO        CA            92116     20250711                                                     A,C27,"
20240123116,,,3333 LOCKE DR, LOCKE DRIVE                   SAN JOSE        ,,,,,11,"20240123116 O     CP    W           JOSE DO CONSTRUCTION                               0 3333 LOCKE DRIVE                   SAN JOSE         CA            95111     20250711                                                     B,"
20240123312,,,473 S MAIN ST,,,,,,12,"20240123312 O     SO    E           GREEN PEAK CONSTRUCTION                            0 473 S MAIN ST                      COALVILLE        UT            84017     20250711 GEORGE FALK                        B                B,"
20240123325,,,400 S LEMON ST, S LEMON ST                     ANAHEIM         ,,,,,13,"20240123325 O     CP    E           HNH BUILDERS CORPORATION                           0 400 S LEMON ST                     ANAHEIM          CA            92805     20250713 HAILEY NOELLE NOELLE               B                B,"
20240123689,,,18                        APPL,                        APPLE VALLEY    ,,,C39;C39,,14,"20240123689 O     CP    E           J F ROOFING INC                                    0 19493 CA-18                        APPLE VALLEY     CA            92307     20250713 FRANCISCO MARTINEZ DELGADO         C39              C39,"
20240123912,,,1186 APPLETON ROAD, APPLETON ROAD                 SIMI VALLEY     ,,,,,15,"20240123912 O     SO    E           BRUNER CONSTRUCTION INNOVATIONS                    0 1186 APPLETON ROAD                 SIMI VALLEY      CA            93065     20250711 RONNIE BRUNER                      B                B,"
20240124276,,,1207 E LOUISE AVE, E LOUISE AVE                  LATHROP         ,,,C-8;C-8,,16,"20240124276 O     SO    E           H - G CONCRETE                                     0 1207 E LOUISE AVE                  LATHROP          CA            95330     20250711 HECTOR GONZALES NAVARRO            C-8              C-8,"
20240124345,,,2355 HOMESTEAD ROAD                TEMPL, HOMESTEAD ROAD                TEMPLETON       ,,,C36;C36,,17,"20240124345 O     SO    E           AUSTIN ELSWORTH BONJOUR                            0 2355 HOMESTEAD ROAD                TEMPLETON        CA            93465     20250711 AUSTIN ELSWORTH BONJOUR            C36              C36,"
20240124393,,,5761 STODDARD ROAD,       MODESTO         ,,,,,18,"20240124393 O     CP    E           NJ CONSTRUCTION CLEAN-UP SERVICES                  0 5761 STODDARD ROAD SUITE 301       MODESTO          CA            95356     20250713 ADAN MENDOZA,JR                    D63              D63,"
20240124898,,,1401 N CLOVIS AVE,          FRESNO          ,,,C20;C20,,19,"20240124898 O     CP    E           DNA BROS HEATING AND AIR                           0 1401 N CLOVIS AVENUE #115          FRESNO           CA            93727     20250711 DAVID ORTEGA HERNANDEZ             C20              C20,"
20240124900,,,1544 HEATHER DR, HEATHER DRIVE                 SANTA ROSA      ,018538 1544,,C36;C20,,20,"20240124900 O     CP    W           HP MECHANICAL                                1018538 1544 HEATHER DRIVE                 SANTA ROSA       CA            95401     20250711                                                     C36,C20,"
20240125206,,,1015 CONSTRUCT, PLEASANT HILL STREET          ESCONDIDO       ,,,,,21,"20240125206 O     CP    W           1015 CONSTRUCTION                                  0 1158 PLEASANT HILL STREET          ESCONDIDO        CA            92026     20250711                                                     B,"
20240126054,,,,                       WOODLAND        ,,,,,22,"20240126054 O     CP    W           R&E UTILITIES AND GRADING CONSTRUCTION INC   1136467 P O BOX 1029                       WOODLAND         CA            95776     20250711                                                     A,"
20240126333,,,10501 COLLETT AVE, COLLETT AVE                  GRANADA HILLS   ,,,,,23,"20240126333 O     LC    E           MBG MODERN L CONSTTUCTION LLC                      0 10501 COLLETT AVE                  GRANADA HILLS    CA            91344     20250713 MARVIN ISAI ORELLANA MOLINA        B                B,"
20240126681,,,4195 CHINO HILLS PARKWAY,      CHINO HILLS     ,937908 4195,,C33,,24,"20240126681 O     CP    W           ARC COATINGS INC                              937908 4195 CHINO HILLS PARKWAY #343      CHINO HILLS      CA            91709     20250711                                                     C33,"
20240127011,,,21762 BANNER ST, BANNER ST                    NUEVO           ,,,C10;C10,,25,"20240127011 O     LC    E           ROBINETTE ELECTRIC LLC                             0 21762 BANNER ST                    NUEVO            CA            92567     20250711 JUSTIN DALE ROBINETTE              C10              C10,"
20240127074,,,2032 DRYSDALE ST ADDR,         DANVILLE        ,,,,,26,"20240127074 O     CP    E           MR & MRS YACOUB & DAUGHTERS INC                    0 2032 DRYSDALE ST ADDRESS 2         DANVILLE         CA            94506     20250711 ANTHONY GEORGE MOGANNAM            D42              D42,"
20240127092,,,6284 MOUNTAIN MEADOW CT, MOUNTAIN MEADOW CT            PARADISE        ,,,,,27,"20240127092 O     SO    E           DIAMOND CONSTRUCTION                               0 6284 MOUNTAIN MEADOW CT            PARADISE         CA            95969     20250711 TYLER ROBERT DIAMOND               B                B,"
20240127185,,,17341 DAUBY CT, DAUBY CT                     RIVERSIDE       ,,,C36;C36,,28,"20240127185 O     SO    E           811 PLUMBING                                       0 17341 DAUBY CT                     RIVERSIDE        CA            92508     20250711 MANUEL ALEJANDRO SANCHEZ BARAJAS   C36              C36,"
20240127379,,,3395 N EMPEROR AVE, N EMPEROR AVENUE              FRESNO          ,,,,,29,"20240127379 O     CP    W           VALOR BUILT INC                                    0 3395 N EMPEROR AVENUE              FRESNO           CA            93737     20250711                                                     B,"
20240127488,,,, PRADO DE ORO                 CALABASAS       ,,,C15;C15,,30,"20240127488 O     CP    E           STONE IMAGE FLOORING AND FLOOR COVERING            0 25560 PRADO DE ORO                 CALABASAS        CA            91302     20250711 BOBBY BABAK AGHAKHANI              C15              C15,"
20240128068,,,18121 IRVINE BLVD                  TUST, IRVINE BLVD                  TUSTIN          ,,,,,31,"20240128068 O     CP    W           MILAN CONSTRUCTION INC                             0 18121 IRVINE BLVD                  TUSTIN           CA            92780     20250711                                                     B,"
20240128071,,,3907 LA CRESCENTA AVE,         LA CRESCENTA    ,,,C20,,32,"20240128071 O     CP    W           DEGREE COOLING AND HEATING INC                     0 3907 LA CRESCENTA AVE #103         LA CRESCENTA     CA            91214     20250711                                                     C20,"
