license_number,business_name,status,address,city_state_zip,phone,bond_amount,classifications,expire_date,line_number,raw_text
20240118849,,,1543 NORTHCREST LANE             VIST, NORTHCREST LANE             VISTA            ,,,C51;C51,,5,"20240118849 O     SO    E           STEELCRAFT BUILDER                                              0 1543 NORTHCREST LANE             VISTA             CA       92083     20250717 GENGE BLUE HATA                  C51              C51,"
20240120580,,,,      LOS ANGELES      ,,,C33;C33,,6,"20240120580 O     LC    E           LC PAINT                                                        0 3407 W 6TH STREET SUITE 407      LOS ANGELES       CA       90020     20250717 HOJIN LIM                        C33              C33,"
20240121045,,,,TH STREET              LAWNDALE         ,,,C20;C20,,7,"20240121045 O     CP    E           TURNER MECHANICAL INC                                           0 4304 W 149TH STREET              LAWNDALE          CA       90260     20250717 OSAMA AHMED AZAM                 C20              C20,"
20240121334,,,,                    SAN FRANCISCO    ,,,,,8,"20240121334 O     LC    W           ADONAY CONSTRUCTION LLC                                         0 P O BOX 40648                    SAN FRANCISCO     CA       94140     20250717                                                   B,"
20240121965,,,3252 FAY AVE,           LOS ANGELES      ,,,C33;C33,,9,"20240121965 O     LC    E           CHROMA PAINTING LLC                                             0 3252 FAY AVENUE APT #3           LOS ANGELES       CA       90034     20250717 CHRISTIAN OROZCO                 C33              C33,"
20240122235,,,1095 DONNA LANE, DONNA LANE                  CALIMESA         ,,,,,10,"20240122235 O     SO    E           CROSS COUNTRY RENOVATIONS                                       0 1095 DONNA LANE                  CALIMESA          CA       92320     20250717 GLENN MICHAEL JOHNSON            B                B,"
20240122409,,,2301 AUSEON AVE, AUSEON AVENUE               OAKLAND          ,945543 2301,,,,11,"20240122409 O     CP    W           RMB CONSTRUCTION GROUP INC                                 945543 2301 AUSEON AVENUE               OAKLAND           CA       94605     20250717                                                   B,"
20240122562,,,12415 IMPERIAL HIGHWAY,   NORWALK          ,,,,,12,"20240122562 O     SO    E           GIOVANNI LOPEZ                                                  0 12415 IMPERIAL HIGHWAY UNIT 18   NORWALK           CA       90650     20250717 GIOVANNI LOPEZ                   B                B,"
20240123617,,,6109 LORI LN                     SAN BERNARD, LORI LN                     SAN BERNARDINO   ,,,B-2;B-2,,13,"20240123617 O     SO    E           MG REMODELING SOLUTIONS                                         0 6109 LORI LN                     SAN BERNARDINO    CA       92407     20250717 MIGUEL ANGEL GARCIA              B-2              B-2,"
20240124233,,,6159 MELVIN AVE, MELVIN AVENUE               TARZANA          ,,,,,14,"20240124233 O     SO    W           ELIZABETH DUTCHESS BENYESHAY                                    0 6159 MELVIN AVENUE               TARZANA           CA       91356     20250717                                                   B,"
20240124456,,,2525 GENEVA AVE, GENEVA AVENUE               DALY CITY        ,,,,,15,"20240124456 O     CP    W           DJ NEW CENTURY CONSTRUCTION INC                                 0 2525 GENEVA AVENUE               DALY CITY         CA       94014     20250717                                                   B,"
20240124476,,,466 HARMONY LANE, HARMONY LANE                 SAN JOSE         ,,,C27;C27,,16,"20240124476 O     CP    E           AMAZING LAND INC                                                0 466 HARMONY LANE                 SAN JOSE          CA       95111     20250717 JOSE LUIS ARIAS DAVILA           C27              C27,"
20240124828,,,2063 DRAKE LANE, DRAKE LANE                  HERCULES         ,,,,,17,"20240124828 O     LC    E           LEVELZ HERO LLC                                                 0 2063 DRAKE LANE                  HERCULES          CA       94547     20250717 LANTZ DERRICK RUBIN              D12              D12,"
20240124972,,,3571 SEAWARD,      OCEANSIDE        ,,,C27;C27,,18,"20240124972 O     CP    E           B&A LANDSCAPE INC                                               0 3571 SEAWARD CIRCLE APT 403      OCEANSIDE         CA       92056     20250717 BERTIN ALVA-ALVAREZ              C27              C27,"
20240124990,,,3910 E CORONADO ST,      ANAHEIM          ,,,,,19,"20240124990 O     CP    W           CAISTEAL HOMES INC                                              0 3910 E CORONADO STREET #101      ANAHEIM           CA       92807     20250717                                                   B,"
20240125110,,,,                     BENICIA          ,,,,,20,"20240125110 O     CP    W           CK CONSTRUCTION PROS INC                                  1050073 P O BOX 1973                     BENICIA           CA       94510     20250717                                                   B,"
20240125141,,,111 BANK ST,             GRASS VALLEY     ,,,,,21,"20240125141 O     LC    E           HOMESTEAD CONSTRUCTION SERVICES                                 0 111 BANK STREET #311             GRASS VALLEY      CA       95945     20250717 CHRISTOPHER TILDEN JOHNSON       B                B,"
20240125353,,,1865 WEST HEATHER LANE           HANFORD, WEST HEATHER LANE           HANFORD          ,907950 1865,,,,22,"20240125353 O     CP    W           ARVIZU BUILDERS INC                                        907950 1865 WEST HEATHER LANE           HANFORD           CA       93230     20250717                                                   B,"
20240125681,,,7791 LINDA LANE, LINDA LANE                  LA PALMA         ,,,C39;C39,,23,"20240125681 O     CP    E           JP ROOFING SERVICES INC                                         0 7791 LINDA LANE                  LA PALMA          CA       90623     20250717 JUAN MACARIO ASCENCIO SANCHEZ    C39              C39,"
20240125797,,,225 SCENIC AVE, SCENIC AVENUE                SANTA ROSA       ,,,C13,,24,"20240125797 O     CP    W           YG FENCE CO                                               1077639 225 SCENIC AVENUE                SANTA ROSA        CA       95407     20250717                                                   C13,"
20240126004,,,,TH AVE                    OAKLAND          ,,,,,25,"20240126004 O     CP    E           KAYG BUILDERS CONSTRUCTION                                      0 1921 69TH AVE                    OAKLAND           CA       94621     20250717 PAULINA E CEPEDA HUERTA          B                B,"
20240126336,,,6736 BERTILLION ST, BERTILLION ST               PALMDALE         ,,,,,26,"20240126336 O     CP    W           BARCELATA WOOD WORKS INC                                        0 6736 BERTILLION ST               PALMDALE          CA       93552     20250717                                                   B,"
20240126471,,,2101 W NICOLA ROAD, W NICOLA ROAD               PALM SPRINGS     ,496537 2101,,,,27,"20240126471 O     SO    W           HOME-TECH BUILDER                                          496537 2101 W NICOLA ROAD               PALM SPRINGS      CA       92262     20250717                                                   B,"
20240126557,,,,,,,C-7,,28,"20240126557 O     LC    W           CONSOLIDATED COMMUNICATIONS OF CALIFORNIA COMPANY LLC           0 2116 SOUTH 17TH STREET           MATTOON           IL       61938     20250717                                                   C-7,"
20240126973,,,, ZANCON                     MISSION VIEJO    ,,,,,29,"20240126973 O     CP    E           AV LANDSCAPING DESIGNS & MASONRY                                0 24142 ZANCON                     MISSION VIEJO     CA       92692     20250717 GEOVANNA PENELOPE VENCES PEREZ   B                B,"
20240127041,,,2108 N ST,            SACRAMENTO       ,,,C35;C35,,30,"20240127041 O     CP    E           NICO PLASTERING INC                                             0 2108 N ST SUITE #9061            SACRAMENTO        CA       95816     20250717 NICHOLAS RAMIREZ                 C35              C35,"
20240127260,,,27647 OPEN CREST DR, OPEN CREST DR              SAUGUS           ,,,C-8,,31,"20240127260 O     CP    W           BLUE DIAMOND CONCRETE INCORPORATED                              0 27647 OPEN CREST DR              SAUGUS            CA       91350     20250717                                                   B,C-8,"
20240127465,,,294 CRAIG WAY, CRAIG WAY                    SAN LUIS OBISPO  ,,,C10;C10,,32,"20240127465 O     LC    E           CHARGED FUTURE LLC                                              0 294 CRAIG WAY                    SAN LUIS OBISPO   CA       93405     20250717 ANDREW DARYA OREIZI              C10              C10,"
20240127522,,,428 E ST, E STREET                     RAMONA           ,,,C27,,33,"20240127522 O     CP    W           TIM GEORGE LANDSCAPE                                       706225 428 E STREET                     RAMONA            CA       92065     20250717                                                   C27,"
20240127636,,,2132 EDINBURG AVENUE             CARD, EDINBURG AVENUE             CARDIFF          ,,,C54,,34,"20240127636 O     CP    W           ELEVATION DEVELOPMENT AND DESIGN                                0 2132 EDINBURG AVENUE             CARDIFF           CA       92007     20250717                                                   B,C54,"
20240127736,,,2547 S EUCLID AVE, S EUCLID AVENUE             ONTARIO          ,,,C35,,35,"20240127736 O     CP    W           EVEN MAS PLASTERING                                             0 2547 S EUCLID AVENUE             ONTARIO           CA       91762     20250717                                                   C35,"
20240127822,,,336 COUNTRY CLUB DR, COUNTRY CLUB DRIVE           SAN FRANCISCO    ,,,C39,,36,"20240127822 O     CP    W           RC EVOLUTION ROOFING INC                                        0 336 COUNTRY CLUB DRIVE           SAN FRANCISCO     CA       94132     20250717                                                   C39,"
