license_number,business_name,status,address,city_state_zip,phone,bond_amount,classifications,expire_date,line_number,raw_text
20240115264,,,8815 GLORI DAWN DR, GLORI DAWN DR                  ORANGEVALE      ,,,C10;C20,,76,"20240115264 O   CP   W   NORTHPOINT ELECTRICAL & AIR                        0 8815 GLORI DAWN DR                  ORANGEVALE       CA   95662   20250709                                         C10,C20,"
20240119437,,,11400 MEDLOW AVE, MEDLOW AVE                    OAK HILLS       ,,,C35;C35,,77,"20240119437 O   CP   E   LOS ANGELES GENERAL PLASTERING INC                 0 11400 MEDLOW AVE                    OAK HILLS        CA   92344   20250709 YESSICA GALLEGOS                  C35   C35,"
20240119621,,,6442 PLATT AVE,             WEST HILLS      ,,,,,78,"20240119621 O   CP   E   THE ATLAS BUILDING GROUP INCORPORATED              0 6442 PLATT AVENUE #2019             WEST HILLS       CA   91307   20250709 CARLOS MORENO,JR                  B     B,"
20240120045,,,244 S VENTURA AVE,            FARMERSVILLE    ,,,C33;C33,,79,"20240120045 O   LC   E   THE PAINT BOSS LLC                                 0 244 S VENTURA AVE APT 25            FARMERSVILLE     CA   93223   20250709 ERIC GIOVANNI ALVARADO            C33   C33,"
20240120152,,,333 E MAIN ST,,,,,,80,"20240120152 O   LC   W   UTAH SYN TURF LLC                                  0 333 E MAIN STREET #1028             LEHI             UT   84043   20250709                                         D12,"
20240121397,,,1436 COOPER AVE, COOPER AVE                     TURLOCK         ,,,,,81,"20240121397 O   SO   E   HMS                                                0 1436 COOPER AVE                     TURLOCK          CA   95380   20250709 STEVEN MARK ADCOCK                B     B,"
20240122351,,,11768 SKYLINE ROAD                  FOREST, SKYLINE ROAD                  FORESTVILLE     ,,,C33;C33,,82,"20240122351 O   CP   E   MORGAN PAINTING & STAINING                         0 11768 SKYLINE ROAD                  FORESTVILLE      CA   95436   20250709 MIGUEL ANGEL LUEVANO VALDEZ       C33   C33,"
20240123239,,,,,,,,,83,"20240123239 O   CP   E   ALBERT WAGNER CONSTRUCTION INC                     0 10001 NW 50 STREET #104             SUNRISE          FL   33351   20250709 WAGNER ALMEIDA                    B     B,"
20240123311,,,11150 SEPULVEDA BLVD,ND FLOOR      MISSION HILLS   ,,,,,84,"20240123311 O   SO   E   JULIAN SHAHINIAN                                   0 11150 SEPULVEDA BLVD 2ND FLOOR      MISSION HILLS    CA   91345   20250709 JULIAN SHAHINIAN                  B     B,"
20240123396,,,6100 HORSESHOE BAR ROAD, HORSESHOE BAR ROAD             LOOMIS          ,,,C27,,85,"20240123396 O   SO   W   CAPITOL CITY CONSTRUCTION                          0 6100 HORSESHOE BAR ROAD             LOOMIS           CA   95650   20250709                                         C27,"
20240123398,,,100 MAPLE ST,                   HOLLISTER       ,,,B-2;B-2,,86,"20240123398 O   CP   E   ALEXANDER'S CONSTRUCTION                           0 100 MAPLE ST 2761                   HOLLISTER        CA   95023   20250709 DAVID ALEXANDER HERNANDEZ         B-2   B-2,"
20240123493,,,5360 TULLY RD,                MODESTO         ,,,C10;C10,,87,"20240123493 O   CP   E   CIMA ELECTRIC INC                                  0 5360 TULLY RD SPC 12                MODESTO          CA   95356   20250709 CRISTIAN DAVID RAMOS TOPETE       C10   C10,"
20240124273,,,5070                        CONCORD,                        CONCORD         ,,,C20,,88,"20240124273 O   CP   W   MONZO HVAC CONSULTING INC                    1140108 P O BOX 5070                        CONCORD          CA   94524   20250709                                         C20,"
20240124395,,,4195 KINGSLEY ST,                MONTCLAIR       ,,,C31;C31,,89,"20240124395 O   LC   E   PUBLIC READY TEMPORARY TRAFFIC CONTROL LLC         0 4195 KINGSLEY ST #20                MONTCLAIR        CA   91763   20250709 ROCKY RENE GUERRA                 C31   C31,"
20240124755,,,11336 LAMBERT AVE, LAMBERT AVE                   EL MONTE        ,,,,,90,"20240124755 O   CP   E   DO IT ONCE GENERAL BUILDERS INC                    0 11336 LAMBERT AVE                   EL MONTE         CA   91732   20250709 EDWIN ANTONIO ESPINOZA ESPINOZA   B     B,"
20240124862,,,4201 LAKE COOK RD,,,,,,91,"20240124862 O   LC   E   MOSAIC CONSTRUCTION LLC                            0 4201 LAKE COOK RD SUITE 102         NORTHBROOK       IL   60062   20250709 ANDREW LOREN POTICHA              B     B,"
20240124911,,,157 ARCH ST,                REDWOOD CITY    ,,,C-9;C-9,,92,"20240124911 O   LC   E   CASTLELLON DRYWALL LLC                             0 157 ARCH ST APT #304                REDWOOD CITY     CA   94062   20250709 DANIEL CASTELLON GARCIA           C-9   C-9,"
20240125148,,,12423 MONTAGUE ST, MONTAGUE STREET               PACOIMA         ,,,C12;C12,,93,"20240125148 O   CP   E   POLO'S EXCAVATION & EARTHWORKS                     0 12423 MONTAGUE STREET               PACOIMA          CA   91331   20250709 RENE JUAREZ                       C12   C12,"
20240125602,,,1425 FIRST ST, FIRST STREET                   SAN FERNANDO    ,,,C-6,,94,"20240125602 O   CP   W   NEW ERA CUSTOM CABINETS INC                        0 1425 FIRST STREET                   SAN FERNANDO     CA   91340   20250709                                         C-6,"
20240125862,,,13220 RIVERSIDE DR,             SHERMAN OAKS    ,,,C21;C21,,95,"20240125862 O   CP   E   CORENA CORP                                        0 13220 RIVERSIDE DR #101             SHERMAN OAKS     CA   91432   20250709 DUDWIN OLDEMAR CORENA             C21   C21,"
20240125865,,,6159 MELVIN AVE, MELVIN AVENUE                  TARZANA         ,140150 6159,,,,96,"20240125865 O   CP   W   ALL TRADES RENOVATION GROUP                  1140150 6159 MELVIN AVENUE                  TARZANA          CA   91356   20250709                                         B,"
20240125951,,,,                        TULARE          ,,,,,97,"20240125951 O   CP   E   ALL VALLEY INDUSTRIAL SERVICE INC                  0 P O BOX 1614                        TULARE           CA   93275   20250709 JASON NEIL CLARK                  B     B,"
