license_number,business_name,status,address,city_state_zip,phone,bond_amount,classifications,expire_date,line_number,raw_text
20240111739,,,,   TURLOCK         ,,,,,5,"20240111739 O     LC    E           HPS TECH CALIFORNIA LLC                            0 SUB SUITE #6 1801 COLORADO,AVE #200   TURLOCK          CA      95382     20250714 MARK JOHN KELLY                    A                A,"
20240118552,,,1501 W CHERRY AVE, W CHERRY AVE                     LOMPOC          ,,,C27;C27,,6,"20240118552 O     CP    E           LOS CHEPES LANDSCAPING INC                         0 1501 W CHERRY AVE                     LOMPOC           CA      93436     20250714 JOSE SALUD VILLALPANDO VELASQUEZ   C27              C27,"
20240119240,,,5027 NOBLE AVE, NOBLE AVE                        SHERMAN OAKS    ,,,,,7,"20240119240 O     LC    E           NOBLE DEVELOPMENT                                  0 5027 NOBLE AVE                        SHERMAN OAKS     CA      91403     20250714 EDIN GALIJASEVIC                   B                B,"
20240120226,,,8326 WESTLAWN AVE, WESTLAWN AVENUE                  LOS ANGELES     ,,,,,8,"20240120226 O     CP    E           ODX CONSTRUCTION                                   0 8326 WESTLAWN AVENUE                  LOS ANGELES      CA      90045     20250714 OLIVIER DANIEL DARCEAUX            B                B,"
20240120416,,,44750 SAN LUIS REY AVE, SAN LUIS REY AVE                PALM DESERT     ,,,,,9,"20240120416 O     LC    E           ASSET CONSTRUCTION SERVICES LLC                    0 44750 SAN LUIS REY AVE                PALM DESERT      CA      92260     20250714 CHRISTOPHER JOHN SCOTT             B                B,"
20240122765,,,,RD ST EAST                   LLANO           ,,,,,10,"20240122765 O     SO    E           HAN ALICE                                          0 30014 233RD ST EAST                   LLANO            CA      93544     20250714 ALICE HAN                          B                B,"
20240123461,,,2190 HANFORD, HANFORD                          SAN DIEGO       ,,,,,11,"20240123461 O     CP    W           BJ CONSTRUCTION GROUP INC                          0 2190 HANFORD                          SAN DIEGO        CA      92111     20250714                                                     B,"
20240123660,,,20250714 HAYDEN ST,                           TRUCKEE         ,,,,,12,"20240123660 O     SO    E           SAHNOW PROPERTIES                                  0 P O BOX 494                           TRUCKEE          CA      96161     20250714 HAYDEN STEPHEN SAHNOW              B                B,"
20240123949,,,1441 ENCINITAS BOULEVARD,    ENCINITAS       ,140373 1441,,C15;C54,,13,"20240123949 O     CP    W           PREMIERE FLOORING & MORE                     1140373 1441 ENCINITAS BOULEVARD,SUITE 126    ENCINITAS        CA      92024     20250714                                                     C15,C54,"
20240125229,,,2505 CRESTVIEW DR, CRESTVIEW DRIVE                  NEWPORT BEACH   ,,,C21,,14,"20240125229 O     SO    W           CRU CONSTRUCTION                                   0 2505 CRESTVIEW DRIVE                  NEWPORT BEACH    CA      92663     20250714                                                     A,B,C21,"
20240125416,,,,                           KINGSBURG       ,,,C-4;C10,,15,"20240125416 O     SO    W           RICHARD PAIVANAS                                   0 P O BOX 213                           KINGSBURG        CA      93631     20250714                                                     B,C-4,C10,D63,"
20240126214,,,401 KERLING RD, KERLING RD                        SEASIDE         ,,,,,16,"20240126214 O     SO    E           ALEXIS ARRAZOLA RODRIGUEZ                          0 401 KERLING RD                        SEASIDE          CA      93955     20250714 ALEXIS ARRAZOLA RODRIGUEZ          B                B,"
20240126326,,,37541 ARBOR LN, ARBOR LN                        PALMDALE        ,,,C33;C33,,17,"20240126326 O     SO    E           RM PAINTING                                        0 37541 ARBOR LN                        PALMDALE         CA      93552     20250714 RENE MARQUEZ HUERTA                C33              C33,"
20240126449,,,1802 W EUCLID AVE                     ST, W EUCLID AVE                     STOCKTON        ,,,,,18,"20240126449 O     LC    E           PMGC LLC                                           0 1802 W EUCLID AVE                     STOCKTON         CA      95204     20250714 STACI ANNE PARIS                   B                B,"
20240126519,,,,                          VALLEJO         ,,,C-4;C-4,,19,"20240126519 O     LC    E           CHECKMATE MECHANICAL LLC                           0 P O BOX 4095                          VALLEJO          CA      94590     20250714 SCOTT THOMAS NELSON                C-4              C-4,"
20240126798,,,2318 E MUNCIE AVE, E MUNCIE AVE                     FRESNO          ,,,C20;C20,,20,"20240126798 O     SO    E           SMILANICK AC 2.0                                   0 2318 E MUNCIE AVE                     FRESNO           CA      93720     20250714 JON FRANK SMILANICK                C20              C20,"
20240126852,,,46397 KOHINOOR WAY, KOHINOOR WAY                    TEMECULA        ,,,C17,,21,"20240126852 O     LC    W           VITRO TECH GLASS LLC                               0 46397 KOHINOOR WAY                    TEMECULA         CA      92592     20250714                                                     C17,"
20240127022,,,24943 SATUSUMA CT, SATUSUMA CT                     RAMONA          ,,,C53;C53,,22,"20240127022 O     CP    E           G & E POOLS INC                                    0 24943 SATUSUMA CT                     RAMONA           CA      92065     20250714 ELSA RUTH ALVARADO CONTRERAS       C53              C53,"
20240127336,,,400 PARAMOUNT DR, PARAMOUNT DRIVE                   MILLBRAE        ,,,C33,,23,"20240127336 O     CP    W           LAMZ CONSTRUCTION                                  0 400 PARAMOUNT DRIVE                   MILLBRAE         CA      94030     20250714                                                     B,C33,"
20240127348,,,2518 MIDDLEFIELD ROAD, MIDDLEFIELD ROAD                 PALO ALTO       ,,,,,24,"20240127348 O     CP    W           AMERICAN MODERN BUILDER CO                         0 2518 MIDDLEFIELD ROAD                 PALO ALTO        CA      94301     20250714                                                     B,"
20240127367,,,3055 E POST RD,,,,,,25,"20240127367 O     LC    E           GOOD GOLLY GARAGE DOORS                            0 3055 E POST RD                        LAS VEGAS        NV      89120     20250714                                                     D28,"
20240127469,,,20250714 ANDR, VIA LIDO SOUD                     NEWPORT BEACH   ,,,,,26,"20240127469 O     SO    E           AMP CONSTRUCTION                                   0 203 VIA LIDO SOUD                     NEWPORT BEACH    CA      92663     20250714 ANDREW MICHAEL POTTER              B                B,"
20240127526,,,19170 PARADISE MOUNTAIN RD, PARADISE MOUNTAIN RD            VALLEY CENTER   ,,,,,27,"20240127526 O     LC    W           VERTECCO LLC                                       0 19170 PARADISE MOUNTAIN RD            VALLEY CENTER    CA      92082     20250714                                                     A,"
20240127602,,,, N JOSHUA                         CLOVIS          ,820098 1747,,C20,,28,"20240127602 O     LC    W           HEATWAVE HEATING AND AIR CONDITIONING LLC     820098 1747 N JOSHUA                         CLOVIS           CA      93619     20250714                                                     C20,"
20240127695,,,21 CENTURY TILE AND ST, VIA ENCANTADORAS                 SAN YSIDRO      ,,,C54;C54,,29,"20240127695 O     CP    E           21 CENTURY TILE AND STONE INC                      0 1770 VIA ENCANTADORAS                 SAN YSIDRO       CA      92173     20250714 GUSTAVO ERNESTO ORTIZ              C54              C54,"
20240127774,,,27601 STROMBERG COURT                 HAYWARD, STROMBERG COURT                 HAYWARD         ,,,,,30,"20240127774 O     SO    W           MILLAN'S VISIONARY CONSTRUCTION                    0 27601 STROMBERG COURT                 HAYWARD          CA      94545     20250714                                                     B,"
20240127938,,,9933 STONE OAK WAY, STONE OAK WAY                    ELK GROVE       ,136762 9933,,C20,,31,"20240127938 O     CP    W           LOCAL PROS HEATING AND AIR CONDITIONING      1136762 9933 STONE OAK WAY                    ELK GROVE        CA      95624     20250714                                                     C20,"
20240128110,,,1264 S WATERMAN AVE,             SAN BERNARDINO  ,,,,,32,"20240128110 O     CP    E           GRD GENERAL CONSTRUCTION                           0 1264 S WATERMAN AVE SP 42             SAN BERNARDINO   CA      92408     20250714 GIOVANNY R DIAZ                    B                B,"
20240128160,,,165 PICKERING PLACE                   WALN, PICKERING PLACE                   WALNUT CREEK    ,,,,,33,"20240128160 O     CP    E           LAND CONSTRUCTION INC                              0 165 PICKERING PLACE                   WALNUT CREEK     CA      94598     20250714 ERIC WEAN LAND                     B                B,"
20240128163,,,1121 SAND RIDGE RD, SAND RIDGE RD                    EL DORADO       ,,,,,34,"20240128163 O     SO    E           3M UTILITIES                                       0 1121 SAND RIDGE RD                    EL DORADO        CA      95623     20250714 MATEO WILLIAM PACHECO              A                A,"
