license_number,business_name,status,address,city_state_zip,phone,bond_amount,classifications,expire_date,line_number,raw_text
20240118300,,,8076 ALLOTT AVE, ALLOTT AVENUE                     PANORAMA CITY       ,,,,,4,"20240118300 O     CP    E           BEK'S CONSTRUCTION                               0 8076 ALLOTT AVENUE                     PANORAMA CITY        CA          91402       20250716 ZALIBEK HOVHANNISYAN              B                B,"
20240118939,,,1258 MCBRIDE LANE                      HAYWARD, MCBRIDE LANE                      HAYWARD             ,033523 1258,,C33,,5,"20240118939 O     LC    W           BAY ONE CONSTRUCTION & REMODELING LLC      1033523 1258 MCBRIDE LANE                      HAYWARD              CA          94544       20250716                                                    B,C33,"
20240119230,,,,ST STREET SUITE R               SACRAMENTO          ,,,,,6,"20240119230 O     LC    E           AQUATIC DEVELOPMENT AND CONSULTING LLC           0 1401 21ST STREET SUITE R               SACRAMENTO           CA          95811       20250716 JOHN ALVIN MAY,III                D21              D21,"
20240119308,,,1799 BAYSHORE HIGHWAY ST,          BURLINGAME          ,,,C-7;C-7,,7,"20240119308 O     CP    E           LANGINEERS INC                                   0 1799 BAYSHORE HIGHWAY STE 230          BURLINGAME           CA          94010       20250716 LONNIE JAN DOMNITZ                C-7              C-7,"
20240120227,,,1410 PELEM COURT                       ST, PELEM COURT                       STOCKTON            ,,,C-8;C-8,,8,"20240120227 O     CP    E           CRUZ CONCRETE CONSTRUCTION INC                   0 1410 PELEM COURT                       STOCKTON             CA          95203       20250716 JESUS FERNANDO CRUZ               C-8              C-8,"
20240121297,,,1956 W ONTARIO AVE, W ONTARIO AVE                     CORONA              ,,,C20;C20,,9,"20240121297 O     CP    E           GOLDEN WOLF SOLUTIONS                            0 1956 W ONTARIO AVE                     CORONA               CA          92882       20250716 DAVID SOTO                        C20              C20,"
20240121642,,,20250716 JUST,                              SANTA CRUZ          ,,,C27;C27,,10,"20240121642 O     SO    E           SITEWATER SOLUTIONS                              0 PO BOX 43                              SANTA CRUZ           CA          95063       20250716 JUSTIN DAKOTAH BERTSCH            C27              C27,"
20240121650,,,504 WILEY LN, WILEY LN                           GRASS VALLEY        ,,,C15;C15,,11,"20240121650 O     SO    E           FINER FLOORS                                     0 504 WILEY LN                           GRASS VALLEY         CA          95945       20250716 MATTHEW PATRICK BOUNDY            C15              C15,"
20240121652,,,6709 LATIJORA BOULEVARD,           LOS ANGELES         ,,,,,12,"20240121652 O     LC    W           MY CHOICE BATHROOM                               0 6709 LATIJORA BOULEVARD #353           LOS ANGELES          CA          90045       20250716                                                    B,"
20240122363,,,3422 VALLEY RD, VALLEY RD                         BONITA              ,,,C20;C20,,13,"20240122363 O     CP    E           BOOSTED HVAC SOLUTIONS                           0 3422 VALLEY RD                         BONITA               CA          91902       20250716 KRISTOPHER ARTURO MONTANO PEREZ   C20              C20,"
